Subject,Group,P_AMQ_Feel,P_D2_Feel,P_D3_Feel,C_AMQ_Feel,C_D2_Feel,C_D3_Feel,P_feelchange,C_feelchange,Differ_FeelChange,P_Date,C_Date
994,Immediate-test,1.6,1.066666667,1.333333333,1.75,1.1875,1.1875,0.266666667,0,0.266666667,3.4,4.625
965,No-reminder,3.375,3.125,3.25,3.857142857,3.928571429,3.571428571,0.125,-0.357142857,0.482142857,3.375,3.928571429
966,No-reminder,3.428571429,3.428571429,3.142857143,3.153846154,2.692307692,2.615384615,-0.285714286,-0.076923077,-0.208791209,2.714285714,3.461538462
971,No-reminder,5,7.909090909,8.272727273,3.9375,6.3125,5.9375,0.363636364,-0.375,0.738636364,2.454545455,2696.75
972,No-reminder,5.642857143,7.428571429,7.857142857,6.384615385,7.846153846,8,0.428571429,0.153846154,0.274725275,3.785714286,3.538461538
973,No-reminder,5.5,5.8,6,5.125,5.8125,5.6875,0.2,-0.125,0.325,4.9,3.875
974,No-reminder,2.181818182,2.818181818,2.454545455,2.428571429,2,2.428571429,-0.363636364,0.428571429,-0.792207792,4,4
975,No-reminder,2.5,3.125,3.25,2.375,2.25,2.0625,0.125,-0.1875,0.3125,3.625,3.75
977,No-reminder,3.666666667,5.5,5.833333333,2,4,4.333333333,0.333333333,0.333333333,0,3,3
979,No-reminder,2.5,4,4.833333333,3.1,4.6,5,0.833333333,0.4,0.433333333,4.833333333,4.5
980,No-reminder,2.5,2.4,2.6,2.375,2.875,2.875,0.2,0,0.2,5.1,4
981,No-reminder,5.5,6,5.25,5.357142857,4.857142857,5.642857143,-0.75,0.785714286,-1.535714286,3.5,2.571428571
982,No-reminder,5.375,5,5.5,5.4,4.666666667,5.8,0.5,1.133333333,-0.633333333,3.625,3.466666667
983,No-reminder,2.083333333,2.75,4,2.0625,3.125,4.125,1.25,1,0.25,5.25,4.375
984,No-reminder,2.833333333,2.75,2.166666667,2.1875,2.8125,2.375,-0.583333333,-0.4375,-0.145833333,4,4.875
985,No-reminder,4.333333333,4.444444444,5.222222222,4.444444444,4.666666667,4.888888889,0.777777778,0.222222222,0.555555556,4,4.888888889
987,No-reminder,4.333333333,4.5,5.166666667,4,4.066666667,4.666666667,0.666666667,0.6,0.066666667,4.5,4.4
988,No-reminder,3.5,3.5,3.75,3.583333333,4.75,5,0.25,0.25,0,4.75,3.75
989,No-reminder,3.625,2.625,1.875,3.555555556,2.444444444,2.333333333,-0.75,-0.111111111,-0.638888889,3.375,3.666666667
993,No-reminder,2.7,4.9,5.4,2.416666667,4.5,4.916666667,0.5,0.416666667,0.083333333,3.5,4.25
995,No-reminder,3.375,3.375,3.25,3.357142857,3.357142857,3.214285714,-0.125,-0.142857143,0.017857143,4.375,4.142857143
998,No-reminder,4.363636364,5.181818182,5.636363636,4.733333333,4.866666667,5.533333333,0.454545455,0.666666667,-0.212121212,3.636363636,3.333333333
1000,No-reminder,3.25,2.375,1.875,2.571428571,1.857142857,1.428571429,-0.5,-0.428571429,-0.071428571,3.25,3
1001,No-reminder,2.666666667,3.444444444,4,3.066666667,3.933333333,3.8,0.555555556,-0.133333333,0.688888889,3.777777778,2.733333333
1002,No-reminder,2.6,2.8,2.866666667,2.6875,3.3125,3,0.066666667,-0.3125,0.379166667,2.066666667,2.4375
